ICAO, latitude, longitude, altitude, yaw, pitch, roll, groundspeed, timestamp
11259137, 37.09678931, -6.73863919, 37.04008102, 3.14122605, -3.14074969, 3.14042521, 6.46576357, 119950
11259137, 37.09678810, -6.73863991, 44.25576401, -3.13171244, 3.06037426, 3.05217505, 5.69212532, 120962
11259137, 37.09678796, -6.73863970, 49.36946106, -3.13942599, 3.10196066, 3.08555222, 4.82778597, 121976
11259137, 37.09678907, -6.73863884, 54.50508499, -3.14077592, 3.11212826, 3.10792661, 5.27368832, 123030
11259137, 37.09678947, -6.73863838, 59.64119339, -3.14132953, 3.11618829, 3.11386490, 4.98800850, 124054
11259137, 37.09678948, -6.73863827, 64.65560913, -3.14128137, 3.11728168, 3.11762834, 5.10919809, 125044
11259137, 37.09678925, -6.73863828, 69.57755280, -3.14143276, 3.11685419, 3.11461401, 5.13603449, 126040
11259137, 37.09678892, -6.73863840, 74.68698120, -3.14096808, 3.11501622, 3.10825133, 5.00937510, 127058
11259137, 37.09678884, -6.73863840, 79.67996216, -3.14063072, 3.11371279, 3.10784841, 4.97096634, 128058
11259137, 37.09678881, -6.73863836, 85.02397156, -3.14100981, 3.11560607, 3.10760784, 4.86401415, 129122
11259137, 37.09678878, -6.73863830, 90.17821503, -3.14049244, 3.11714125, 3.10698605, 4.93320799, 130150
11259137, 37.09678879, -6.73863829, 94.96029663, -3.14068675, 3.12224579, 3.10919046, 5.10814238, 131102
11259137, 37.09678870, -6.73863854, 100.01379395, -3.14115882, 3.11859894, 3.10764217, 4.97241163, 132124
11259137, 37.09678874, -6.73863878, 105.33361053, -3.14109945, 3.11712861, 3.11026955, 5.08698559, 133168
11259137, 37.09678874, -6.73863894, 110.57099915, -3.14114451, 3.11608481, 3.10969281, 4.94750214, 134216
11259137, 37.09678876, -6.73863898, 115.60332489, -3.14046407, 3.11587000, 3.11274958, 5.30567980, 135232
11259137, 37.09678944, -6.73863899, 119.66815948, -2.99964952, 2.94735360, 2.36111307, 1.66381407, 136244
11259137, 37.09681367, -6.73863287, 119.97619629, -3.01912713, 2.98838973, 2.57840919, 4.26449442, 137220
11259137, 37.09685761, -6.73862094, 119.87423706, -3.03788090, 2.99270511, 2.54535151, 4.90372086, 138278
11259137, 37.09690613, -6.73860848, 119.90912628, -3.03068638, 2.98600698, 2.52815247, 5.43916559, 139330
11259137, 37.09695519, -6.73859610, 119.92412567, -3.01960516, 2.97579098, 2.52029276, 5.82105827, 140338
11259137, 37.09700420, -6.73858345, 119.94363403, -3.00989103, 2.96674347, 2.50194931, 6.12723207, 141320
11259137, 37.09705618, -6.73856996, 119.94002533, -3.00492716, 2.96451950, 2.49581718, 6.33383179, 142340
11259137, 37.09710457, -6.73855714, 119.91751099, -3.04412866, 2.98990273, 2.59305692, 5.41096687, 143346
11259137, 37.09714902, -6.73854534, 119.95743561, -3.03585434, 2.98162150, 2.52766490, 5.29930878, 144360
11259137, 37.09719528, -6.73853342, 119.94660950, -3.04353642, 2.98653746, 2.58626223, 5.31880569, 145378
11259137, 37.09723923, -6.73852184, 119.94982147, -3.04666901, 2.98765540, 2.57824874, 5.09326267, 146358
11259137, 37.09728788, -6.73850912, 119.93402863, -3.04735208, 2.98804688, 2.59623432, 5.13956404, 147442
11259137, 37.09733126, -6.73849701, 119.95084381, -3.02046537, 2.90475321, 2.61118960, 4.93162346, 148428
11259137, 37.09737613, -6.73847814, 119.97851562, -2.97582555, 2.85960984, 2.60977101, 4.93031740, 149478
11259137, 37.09741648, -6.73845656, 119.98125458, -2.97158098, 2.86600852, 2.59596729, 4.90428734, 150460
11259137, 37.09745921, -6.73843330, 119.96697998, -2.97789478, 2.87842178, 2.60307264, 5.00058794, 151470
11259137, 37.09749891, -6.73841224, 119.96312714, -2.98142886, 2.88058496, 2.58959866, 4.91962481, 152456
11259137, 37.09754312, -6.73838962, 119.94821167, -2.97923112, 2.87876177, 2.58808231, 5.00590706, 153502
11259137, 37.09758493, -6.73836838, 119.95545197, -2.98220873, 2.87934899, 2.58617043, 4.96197987, 154522
11259137, 37.09762712, -6.73834720, 119.96154785, -2.97400928, 2.86999273, 2.57176733, 5.12319040, 155528
