ICAO, latitude, longitude, altitude, yaw, pitch, roll, groundspeed, timestamp
11259137, 37.09678900, -6.73863968, 37.01751709, 3.14151573, 3.14152169, 3.13991952, 6.41005182, 116908
11259137, 37.09678778, -6.73864002, 44.25833893, -3.13382792, 3.06773782, 3.06093836, 5.14587927, 117948
11259137, 37.09678780, -6.73863959, 49.20291901, -3.13968658, 3.10873103, 3.09295464, 4.88425350, 118924
11259137, 37.09678876, -6.73863875, 54.21089935, -3.14080477, 3.11863184, 3.10793972, 4.97325945, 119930
11259137, 37.09678933, -6.73863826, 59.22305298, -3.14137697, 3.12455630, 3.11934900, 4.97714901, 120940
11259137, 37.09678955, -6.73863810, 64.05185699, 3.14129019, 3.12831473, 3.12332702, 5.02978611, 121920
11259137, 37.09678941, -6.73863820, 69.21910095, 3.14154911, 3.12535596, 3.12434196, 5.06624794, 122948
11259137, 37.09678916, -6.73863827, 74.20145416, -3.14121461, 3.12491131, 3.12031651, 5.14812756, 123942
11259137, 37.09678903, -6.73863828, 79.36744690, -3.14138246, 3.12597561, 3.12058640, 5.15151882, 124970
11259137, 37.09678892, -6.73863838, 84.44278717, -3.14071846, 3.12514210, 3.12002277, 4.96695614, 125986
11259137, 37.09678881, -6.73863843, 89.57661438, -3.14129400, 3.12547255, 3.11923075, 5.05687904, 126998
11259137, 37.09678877, -6.73863845, 94.58872223, -3.14121652, 3.12487674, 3.11888528, 4.96881914, 128016
11259137, 37.09678877, -6.73863851, 99.56433868, -3.14146805, 3.12679243, 3.11985803, 5.10841179, 129002
11259137, 37.09678865, -6.73863867, 104.60540009, -3.14121842, 3.12494826, 3.11743069, 4.96127224, 130008
11259137, 37.09678864, -6.73863871, 109.61522675, 3.14141750, 3.12516260, 3.11713624, 4.94912624, 131014
11259137, 37.09678868, -6.73863877, 114.46503448, -3.14130640, 3.12702727, 3.11921263, 5.21515226, 131988
11259137, 37.09678874, -6.73863898, 119.22167206, -3.06961155, 3.00151873, 2.51748133, 2.88071942, 133006
11259137, 37.09680724, -6.73863463, 120.03629303, -3.00209355, 2.97429514, 2.49480534, 3.97721076, 134014
11259137, 37.09684675, -6.73862438, 119.87609863, -3.03796101, 2.98674822, 2.56629515, 4.79607964, 134984
11259137, 37.09689268, -6.73861223, 119.90224457, -3.02792287, 2.98416424, 2.53788400, 5.31350231, 135994
11259137, 37.09694310, -6.73859925, 119.94634247, -3.01790786, 2.97417283, 2.51617956, 5.72276497, 137032
11259137, 37.09699397, -6.73858607, 119.95450592, -3.01050043, 2.96764779, 2.49948001, 6.02711010, 138040
11259137, 37.09704681, -6.73857241, 119.93305969, -3.03749347, 2.99123502, 2.62476635, 5.88082504, 139050
11259137, 37.09709146, -6.73856037, 119.94650269, -3.04742813, 2.99246168, 2.59101415, 5.23578930, 140028
11259137, 37.09713500, -6.73854896, 119.94571686, -3.03972721, 2.98492527, 2.55909824, 5.30685997, 141036
11259137, 37.09718057, -6.73853717, 119.95462799, -3.04074001, 2.98318934, 2.57511282, 5.30856228, 142050
11259137, 37.09722539, -6.73852545, 119.94712830, -3.04170680, 2.98674273, 2.58529210, 5.33753538, 143032
11259137, 37.09727108, -6.73851334, 119.96286774, -3.04980016, 2.99101472, 2.59734774, 5.07172632, 144042
11259137, 37.09731547, -6.73850154, 119.96669006, -3.04184914, 2.95507073, 2.60544300, 4.96344614, 145050
11259137, 37.09735781, -6.73848654, 119.96327209, -2.98596239, 2.86444831, 2.60982752, 5.03558683, 146028
11259137, 37.09740007, -6.73846543, 119.95598602, -2.97314954, 2.86013937, 2.60851049, 4.94690943, 147040
11259137, 37.09744039, -6.73844344, 119.95957947, -2.96463680, 2.85812473, 2.57361460, 5.00492144, 148022
11259137, 37.09748219, -6.73842108, 119.95080566, -2.97120452, 2.86897469, 2.57644296, 5.08503771, 149044
11259137, 37.09752284, -6.73840003, 119.96658325, -2.96233702, 2.86356521, 2.56011963, 5.23043728, 150036
11259137, 37.09756698, -6.73837748, 119.97359467, -2.97639632, 2.87248564, 2.59327292, 5.18942213, 151050
11259137, 37.09761046, -6.73835516, 119.97122192, -2.99459362, 2.88927436, 2.62236905, 4.99535084, 152060
11259137, 37.09765270, -6.73833355, 119.95235443, -2.99383450, 2.88738489, 2.60176563, 4.93293333, 153072
11259137, 37.09769486, -6.73831225, 119.96643829, -2.99870062, 2.89488220, 2.61677361, 4.98606920, 154084
11259137, 37.09773560, -6.73829187, 119.98373413, -2.99893904, 2.89434934, 2.61411572, 4.95923853, 155068
11259137, 37.09777651, -6.73827151, 119.98645020, -2.99468327, 2.88616395, 2.61242247, 5.04155350, 156052
11259137, 37.09781506, -6.73824786, 119.99847412, -0.00738240, 0.54308075, 0.01894447, 3.95276642, 157096
11259137, 37.09782126, -6.73820813, 119.99909973, -0.20394151, 0.33457726, 0.49601340, 3.55218577, 158144
11259137, 37.09779988, -6.73817373, 119.92908478, -0.18983638, 0.47700170, 0.41098124, 4.05312586, 159128
11259137, 37.09777465, -6.73812916, 119.96154022, -0.17103022, 0.62705803, 0.28437632, 5.08083057, 160142
11259137, 37.09775585, -6.73806878, 119.96438599, -0.16434918, 0.62977207, 0.26849502, 5.79943562, 161150
11259137, 37.09773877, -6.73800195, 119.97391510, -0.20478347, 0.61393994, 0.33691201, 6.05176544, 162156
11259137, 37.09772030, -6.73793563, 119.97314453, -0.22267494, 0.62565082, 0.36253107, 6.23750973, 163166
11259137, 37.09770057, -6.73786804, 119.97809601, -0.21941470, 0.63162267, 0.35211936, 6.48170614, 164182
11259137, 37.09768321, -6.73780693, 119.94929504, -0.11239455, 0.48264819, 0.22717535, 5.21501637, 165156
11259137, 37.09766830, -6.73775328, 119.99414825, -0.11898758, 0.51174986, 0.24633735, 4.86495972, 166162
11259137, 37.09765420, -6.73770196, 119.98478699, -0.13500211, 0.53817135, 0.26775497, 5.00327301, 167176
11259137, 37.09763999, -6.73765081, 119.98447418, -0.13648713, 0.52198946, 0.26475880, 5.20362473, 168162
